# |dist(asec)|typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |      coord2 (FK5,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |    spec. type    |#bib|#not
98 |      0.00|HIP80112   |* sig Sco                          |bC*|16 21 11.3157134 -25 35 34.051476      |245.2971573733 -25.5927881111      |2.32     |3.02     |2.89     |1.69     |1.58     |B1III+B1:V        | 886|   0
99 |      0.00|HIP76742   |* 42 Lib                           |*  |15 40 16.8973226160 -23 49 05.101136148|235.0704141839769 -23.8180805642745|7.80     |6.29     |4.96     |4.00     |3.32     |K3-IIICN2         | 119|   0
100|      0.00|HIP32402   |HD 49517                           |*  |06 45 53.7176421312 -52 24 34.887188124|101.4738280804182 -52.4096968057252|     ~   |7.326    |5.761    |     ~   |     ~   |K3III             |  23|   0
101|      0.00|HIP31407   |* N Car                            |*  |06 34 58.5799794805 -52 58 32.193408612|098.7440874105777 -52.9756151279759|4.22     |4.37     |4.40     |     ~   |     ~   |A0II              |  67|   0
102|      0.00|HIP30438   |* alf Car                          |*  |06 23 57.10988 -52 41 44.3810          |095.98796165 -52.69566715          |-0.49    |-0.59    |-0.74    |-0.96    |-1.13    |A9II              | 454|   1
103|      0.00|HIP29990   |HD 44362                           |*  |06 18 46.7864729736 -50 21 32.764837176|094.6949475037438 -50.3591070597902|     ~   |7.866    |7.031    |     ~   |     ~   |G1.5Ib            |  36|   0
104|      0.00|HIP30104   |HD 44594                           |PM*|06 20 06.1348101266 -48 44 27.926056127|095.0255657515657 -48.7410962991078|7.46     |7.263    |6.608    |     ~   |     ~   |G2Va              | 181|   0
105|      0.00|HIP50785   |HD 90074                           |PM*|10 22 10.4207538048 -58 15 56.049824700|155.5434326127034 -58.2655739852425|     ~   |7.23     |6.35     |     ~   |     ~   |G6III             |  18|   0
106|      0.00|HIP51232   |* s Car                            |V* |10 27 52.7297730743 -58 44 21.862230028|156.9697204998842 -58.7394106638811|     ~   |4.111    |3.810    |     ~   |     ~   |F2II              |  93|   0
107|      0.00|HIP52102   |* t02 Car                          |*  |10 38 44.9962507584 -59 10 58.784700504|159.6874979586696 -59.1830000396381|     ~   |6.51     |4.87     |     ~   |     ~   |K4/5(III)         |  46|   0
108|      0.00|HIP52405   |HD 92964                           |s*b|10 42 40.5664557600 -59 12 56.730301164|160.6690406111825 -59.2157626320864|5.12     |5.78     |5.51     |5.30     |5.00     |B2.5Ia            | 151|   0
109|      0.00|HIP52558   |HD 93250                           |** |10 44 45.0275085072 -59 33 54.680974848|161.1876284986109 -59.5651933349663|6.73     |8.12     |7.50     |8.38     |     ~   |O4III(fc)         | 324|   0
110|      0.00|HIP52922   |HD 93943                           |** |10 49 24.4351014720 -59 19 25.641835176|162.3518268720886 -59.3237934833341|5.85     |5.91     |5.91     |     ~   |     ~   |B9.5IV/V          |  37|   0
111|      0.09|HIP52922   |HD 93943A                          |*  |10 49 24.446854 -59 19 25.61950        |162.351875841 -59.323787279        |     ~   |6.12     |6.12     |     ~   |     ~   |~                 |   0|   0
112|      0.96|HIP52922   |HD 93943B                          |*  |10 49 24.320554 -59 19 25.25947        |162.351349591 -59.323687271        |     ~   |7.46     |7.42     |     ~   |     ~   |~                 |   0|   0
113|      0.00|HIP53253   |* u Car                            |PM*|10 53 29.6561115087 -58 51 11.413331344|163.3735810598049 -58.8531743735756|5.39     |4.74     |3.79     |3.07     |2.57     |K0IV              |  99|   0
114|      0.00|HIP54463   |* x Car                            |cC*|11 08 35.3887658400 -58 58 30.139080572|167.1474675776643 -58.9750423275515|6.07     |5.09     |3.83     |2.86     |2.27     |G5_0-Ia           | 154|   0
115|      0.00|HIP7506    |HD 10052                           |V* |01 36 44.7892332360 -58 16 15.545996184|024.1866183359839 -58.2709849578474|     ~   |7.779    |6.205    |     ~   |     ~   |M3III             |  23|   0
116|      0.00|HIP7387    |HD 9896                            |PM*|01 35 15.0231328752 -58 08 22.107868980|023.8125929687104 -58.1394743272804|     ~   |6.39     |6.01     |     ~   |     ~   |F3V               |  51|   0
117|      0.00|HIP7588    |* alf Eri                          |Be*|01 37 42.84548 -57 14 12.3101          |024.42851975 -57.23675279          |-0.36    |0.30     |0.46     |0.49     |0.60     |B6Vpe             | 486|   1
118|      0.00|HIP7699    |HD 10269                           |PM*|01 39 07.6242946224 -56 25 45.751459944|024.7817650966388 -56.4293754275842|     ~   |7.54     |7.08     |     ~   |     ~   |F5V               |  43|   0
