# |dist(asec)|typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |      coord2 (FK5,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |    spec. type    |#bib|#not
199|      0.00|HIP102281  |* del Del                          |dS*|20 43 27.5335534492 +15 04 28.483265446|310.8647299597269 +15.0745845191261|     ~   |4.701    |4.417    |     ~   |     ~   |kA7hF1VmF1pSrEuCr:| 224|   0
200|      0.00|HIP102532  |* gam02 Del                        |PM*|20 46 39.4998239664 +16 07 27.458234724|311.6645894773866 +16.1242997639996|     ~   |5.26     |4.25     |4.1      |     ~   |K1IV              | 189|   0
201|      1.59|HIP102532  |* gam Del                          |** |20 46 39.39048 +16 07 27.6456          |311.66413388 +16.12435181          |     ~   |     ~   |     ~   |     ~   |     ~   |~                 |  25|   0
202|      0.00|HIP102029  |HD 197039                          |** |20 40 35.3198042496 +15 38 35.626795692|310.1471726690973 +15.6432355206454|     ~   |7.22     |6.77     |     ~   |     ~   |F5                |  56|   0
203|      0.00|HIP101958  |* alf Del                          |** |20 39 38.2796355689 +15 54 43.776032197|309.9095053009372 +15.9121658708376|3.550    |3.740    |3.800    |3.77     |3.81     |B9IV              | 285|   0
204|      0.00|HIP101909  |HD 196775                          |*  |20 39 04.9680556008 +15 50 17.511192132|309.7707070447973 +15.8382034191410|5.110    |5.820    |5.980    |     ~   |     ~   |B3V               |  65|   0
205|      0.00|HIP102611  |HD 198109                          |PM*|20 47 38.4029918472 +16 14 18.383311068|311.9100193546588 +16.2384456108345|     ~   |8.05     |7.60     |     ~   |     ~   |F9Vw              |  48|   0
206|      0.00|HIP30324   |* bet CMa                          |bC*|06 22 41.9853527 -17 57 21.307352      |095.6749446927 -17.9559244595      |0.77     |1.73     |1.97     |2.11     |2.35     |B1II-III          | 732|   0
207|      0.00|HIP31592   |* nu.02 CMa b                      |Pl |06 36 41.0376788353 -19 15 21.169452656|099.1709961256180 -19.2558862635131|     ~   |     ~   |     ~   |     ~   |     ~   |~                 |  16|   1
208|      0.00|HIP31592   |* nu.02 CMa c                      |Pl |06 36 41.0376788353 -19 15 21.169452656|099.1709961256180 -19.2558862635131|     ~   |     ~   |     ~   |     ~   |     ~   |~                 |   5|   0
209|      0.00|HIP31592   |* nu.02 CMa                        |PM*|06 36 41.0376788353 -19 15 21.169452656|099.1709961256180 -19.2558862635131|5.96     |5.011    |3.91     |3.13     |2.61     |K1.5III-IVFe1     | 275|   1
210|      0.00|HIP32349   |* alf CMa                          |SB*|06 45 08.91728 -16 42 58.0171          |101.28716127 -16.71612178          |-1.51    |-1.46    |-1.46    |-1.46    |-1.43    |A0mA1Va           |1575|   0
211|      0.00|HIP33347   |* iot CMa                          |s*b|06 56 08.2245944314 -17 03 15.259069948|104.0342751635046 -17.0542446063112|3.62     |4.297    |4.385    |6.40     |     ~   |B3Ib              | 177|   0
212|      0.00|HIP34045   |* gam CMa                          |*  |07 03 45.4934693195 -15 37 59.833212992|105.9395622279203 -15.6332930130407|3.52     |4.00     |4.12     |4.13     |4.23     |B8II              | 188|   0
213|      0.00|HIP22701   |* ome Eri                          |SB*|04 52 53.6693861092 -05 27 09.706754554|073.2236284199094 -05.4527008836072|     ~   |4.64     |4.40     |     ~   |     ~   |A9IVn             |  75|   0
214|      0.00|HIP23364   |* psi Eri                          |*  |05 01 26.3457823592 -07 10 26.273231188|075.3597799705843 -07.1739694958506|3.87     |4.62     |4.81     |     ~   |     ~   |B3IV              | 112|   0
215|      0.00|HIP23972   |* lam Eri                          |Be*|05 09 08.7840557047 -08 45 14.701594805|077.2866060261811 -08.7540886122899|3.17     |4.07     |4.27     |4.35     |4.55     |B2III(e)p         | 313|   1
216|      0.00|HIP24244   |* iot Lep                          |** |05 12 17.9105854648 -11 52 08.763279736|078.0746330406853 -11.8691057971794|3.95     |4.35     |4.45     |     ~   |     ~   |B7.5Vn            | 116|   0
217|      0.00|HIP24327   |* kap Lep                          |Pu*|05 13 13.8770294280 -12 56 28.652839152|078.3078264908422 -12.9412973561361|3.92     |4.35     |4.44     |     ~   |     ~   |B7V               | 104|   0
218|      0.00|HIP24305   |* mu. Lep                          |a2*|05 12 55.9029641016 -16 12 19.668599100|078.2329343313642 -16.2054683958621|2.78     |3.18     |3.29     |3.30     |3.42     |B9IV:HgMn         | 291|   1
219|      0.80|HIP24305   |* mu. Lep B                        |*  |05 12 55.85 -16 12 19.9                |078.23271 -16.20553                |     ~   |     ~   |     ~   |     ~   |     ~   |~                 |   2|   0
220|      0.00|HIP24436   |* bet Ori                          |s*b|05 14 32.27210 -08 12 05.8981          |078.63447291 -08.20164329          |-0.56    |0.10     |0.13     |0.13     |0.15     |B8Ia              | 774|   0
221|      0.00|HIP74395   |* zet Lup                          |PM*|15 12 17.0955222617 -52 05 57.295332603|228.0712448641795 -52.0992462800419|4.99     |4.33     |3.41     |     ~   |     ~   |G8III             | 113|   0
222|      0.00|HIP96229   |* mu. Aql                          |PM*|19 34 05.3529921054 +07 22 44.184329526|293.5223104804360 +07.3789461688322|6.87     |5.63     |4.45     |3.55     |2.94     |K3-IIIbFe0.5      | 270|   1
223|      0.00|HIP97229   |* ups Aql                          |PM*|19 45 39.9472100640 +07 36 47.366333496|296.4164530958327 +07.6131633900386|6.18     |6.09     |5.91     |     ~   |     ~   |A3IV              |  67|   0
224|      0.00|HIP97938   |* ksi Aql                          |** |19 54 14.8815179040 +08 27 41.235438096|298.5620127485989 +08.4614603519630|     ~   |5.759    |4.707    |     ~   |     ~   |G9.5IIIb          | 149|   1
225|      0.00|HIP97938   |* ksi Aql b                        |Pl |19 54 14.8815179040 +08 27 41.235438096|298.5620127485989 +08.4614603519630|     ~   |     ~   |     ~   |     ~   |     ~   |~                 |  17|   1
226|      0.00|HIP98526   |HD 189695                          |*  |20 00 58.9762436208 +08 33 27.850936644|300.2457407999280 +08.5577424198540|9.32     |7.43     |5.91     |     ~   |     ~   |K5III             |  32|   0
227|      0.00|HIP99158   |HD 191104                          |** |20 07 50.36773 +09 23 59.4022          |301.95987205 +09.39983997          |     ~   |     ~   |     ~   |     ~   |     ~   |F3V               |  60|   0
228|      0.06|HIP99158   |HD 191104A                         |PM*|20 07 50.3705518152 +09 23 59.445674196|301.9598837896955 +09.3998520484981|     ~   |6.943    |6.554    |7.50     |     ~   |~                 |   3|   0
229|      0.00|HIP97278   |* gam Aql                          |*  |19 46 15.5789542266 +10 36 47.731401477|296.5649187099586 +10.6132647972843|5.93     |4.23     |2.72     |1.65     |0.87     |K3II              | 445|   0
230|      0.00|HIP97649   |* alf Aql                          |dS*|19 50 46.99855 +08 52 05.9563          |297.69583371 +08.86832727          |1.07     |0.98     |0.76     |0.62     |0.49     |A7Vn              | 901|   1
231|      0.00|HIP98036   |* bet Aql                          |PM*|19 55 18.7928429719 +06 24 24.351242346|298.8283099241261 +06.4067702955578|5.040    |4.560    |3.710    |3.05     |2.56     |G8IV              | 566|   0
232|      0.00|HIP67459   |* ups Boo                          |PM*|13 49 28.6412870007 +15 47 52.456719303|207.3693433392424 +15.7979049406847|7.46     |5.59     |4.07     |2.87     |2.00     |K5.5III           | 158|   0
233|      0.00|HIP67275   |* tau Boo b                        |Pl |13 47 15.7381720026 +17 27 24.809555600|206.8155801677908 +17.4568917809662|     ~   |     ~   |     ~   |     ~   |     ~   |~                 | 298|   1
234|      0.00|HIP67275   |* tau Boo                          |PM*|13 47 15.7381720026 +17 27 24.809555600|206.8155801677908 +17.4568917809662|5.02     |4.98     |4.49     |4.09     |3.85     |F7IV-V            |1021|   1
235|      0.00|HIP67927   |* eta Boo                          |SB*|13 54 41.07892 +18 23 51.7946          |208.67116651 +18.39772115          |3.440    |3.250    |2.680    |2.24     |1.95     |G0IV              | 720|   0
236|      0.00|HIP69673   |* alf Boo                          |RG*|14 15 39.67207 +19 10 56.6730          |213.91530457 +19.18241015          |2.46     |1.18     |-0.05    |-1.03    |-1.68    |K1.5IIIFe-0.5     |2376|   1
237|      0.24|HIP69673   |* alf Boo B                        |PM*|14 15 39.666768 +19 10 56.44497        |213.915282475 +19.182346812        |     ~   |     ~   |     ~   |     ~   |     ~   |~                 |   1|   1
238|      0.00|HIP71762   |* pi.01 Boo                        |*  |14 40 43.5589117488 +16 25 05.975961096|220.1815001017124 +16.4183282912100|4.18     |4.792    |4.893    |4.47     |4.49     |B9IIIpHgMnSi      | 210|   0
239|      0.00|HIP71795   |* zet Boo                          |** |14 41 08.95158 +13 43 41.8967          |220.28730316 +13.72830628          |3.88     |3.83     |3.78     |     ~   |     ~   |A1V               | 110|   0
240|      0.15|HIP71795   |* zet Boo A                        |PM*|14 41 08.960182 +13 43 41.81182        |220.287339023 +13.728282707        |     ~   |4.56     |4.51     |     ~   |     ~   |A3IV              | 108|   0
241|      0.75|HIP71795   |* zet Boo B                        |PM*|14 41 08.907838 +13 43 42.30070        |220.287120923 +13.728418507        |     ~   |4.59     |4.51     |     ~   |     ~   |A2                | 121|   0
242|      0.00|HIP72105   |* eps Boo                          |PM*|14 44 59.2175581895 +27 04 27.200350832|221.2467432105375 +27.0742240635779|     ~   |3.61     |2.45     |     ~   |     ~   |K0-II-III         | 165|   0
243|      0.00|HIP71053   |* rho Boo                          |PM*|14 31 49.7893292450 +30 22 17.171652275|217.9574584343102 +30.3714379770102|6.33     |4.89     |3.59     |2.67     |2.02     |K3-III            | 265|   0
244|      0.00|HIP74666   |* del Boo                          |PM*|15 15 30.1628200572 +33 18 53.392471806|228.8756811370423 +33.3148337436499|5.12     |4.44     |3.49     |2.76     |2.25     |G8IIIFe-1         | 385|   0
245|      0.00|HIP73555   |* bet Boo                          |PM*|15 01 56.7623044453 +40 23 26.046853660|225.4865111322890 +40.3905707400718|5.21     |4.47     |3.52     |2.85     |2.37     |G8IIIaFe-0.5      | 261|   0
246|      0.00|HIP89931   |* del Sgr                          |*  |18 20 59.6428936493 -29 49 41.168145329|275.2485195713028 -29.8280965267593|     ~   |4.069    |2.668    |     ~   |     ~   |K2.5IIIaCN0.5     | 180|   0
247|      0.00|HIP67480   |* e Boo                            |SB*|13 49 42.8247690576 +21 15 50.764729320|207.4284405363340 +21.2641016163957|     ~   |6.33     |4.91     |     ~   |     ~   |K4III             |  87|   0
248|      0.00|HIP21421   |* alf Tau b                        |Pl |04 35 55.23907 +16 30 33.4885          |068.98017044 +16.50929811          |     ~   |     ~   |     ~   |     ~   |     ~   |~                 |   5|   0
249|      0.00|HIP21421   |* alf Tau                          |LP?|04 35 55.23907 +16 30 33.4885          |068.98017044 +16.50929810          |4.32     |2.40     |0.86     |-0.37    |-1.31    |K5+III            |1280|   2
250|      0.00|HIP100064  |* alf02 Cap                        |PM*|20 18 03.2555957142 -12 32 41.467632703|304.5135711097948 -12.5448461331081|5.20     |4.51     |3.58     |2.91     |2.42     |G9III             | 176|   0
251|      0.00|HIP92953   |HD 175219                          |*  |18 56 16.9512500808 -42 42 38.423132748|284.0706375926279 -42.7106671159555|     ~   |6.341    |5.346    |     ~   |     ~   |K0III             |  32|   0
252|      0.00|HIP93542   |* zet CrA                          |PM*|19 03 06.8768335825 -42 05 42.380397917|285.7786606740100 -42.0950996592426|     ~   |4.701    |4.725    |     ~   |4.76     |B9.5Vann          |  74|   0
253|      0.00|HIP94005   |* del CrA                          |PM*|19 08 20.9696916432 -40 29 48.112728468|287.0873807526186 -40.4966919536243|     ~   |5.664    |4.571    |     ~   |     ~   |K1III             |  34|   0
254|      0.00|HIP94160   |* bet CrA                          |*  |19 10 01.7567255066 -39 20 26.853667665|287.5073266636610 -39.3407866533140|     ~   |5.281    |4.095    |     ~   |     ~   |K0II/IIICNIb      |  60|   0
255|      0.00|HIP94114   |* alf CrA                          |PM*|19 09 28.3415149600 -37 54 16.107840507|287.3680966004124 -37.9044683698273|     ~   |4.146    |4.087    |     ~   |     ~   |A2Va              | 117|   0
256|      0.00|HIP93825   |* gam CrA                          |** |19 06 25.11014 -37 03 48.3901          |286.60463259 -37.06343568          |4.75     |4.73     |4.21     |     ~   |     ~   |F8V+F8V           |  57|   0
257|      0.95|HIP93825   |* gam CrA B                        |PM*|19 06 25.1022191999 -37 03 49.332880204|286.6045995776171 -37.0636975582158|     ~   |7.06     |6.42     |     ~   |     ~   |F8/G1             |  46|   0
258|      1.39|HIP93825   |* gam CrA A                        |PM*|19 06 25.2146839530 -37 03 47.792348952|286.6050681807080 -37.0632696328612|     ~   |5.07     |4.53     |     ~   |     ~   |F8V               |  85|   0
259|      0.00|HIP93174   |* eps CrA                          |SB*|18 58 43.3827144528 -37 06 26.380732536|284.6807684613620 -37.1073219933253|     ~   |5.24     |4.85     |     ~   |     ~   |F4VFe-0.8+        | 217|   0
260|      0.00|HIP91875   |* lam CrA                          |PM*|18 43 46.9419848160 -38 19 24.390826104|280.9455990965424 -38.3234359889575|     ~   |5.180    |5.111    |     ~   |     ~   |A0/1V             |  44|   0
261|      0.00|HIP44816   |* lam Vel                          |s*r|09 07 59.75787 -43 25 57.3273          |136.99899969 -43.43259653          |5.67     |3.86     |2.21     |0.97     |0.03     |K4Ib              | 225|   0
